id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\ExportMenu.js,ExportMenu,Large Component,LOC: 162; Number of props: 15; Number of attributes: 0; Number of methods: 2,,
16,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\ExportMenu.js,ExportMenu,Too many props,"Number of props: 15; Props: onChange,exportSize,isVisible,toggleVisibility,exportImage,loading,filename,minWidth,borderBottomRightRadius,borderTopRightRadius,borderBottomLeftRadius,borderTopLeftRadius,maxWidth,name,open",,
17,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\FontSelect.js,FontSelect,Uncontrolled component,"Line 54: <input
",,
18,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\ImagePicker.js,ImagePicker,Large Component,LOC: 304; Number of props: 26; Number of attributes: 2; Number of methods: 10,,
19,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\ImagePicker.js,ImagePicker,Too many props,"Number of props: 26; Props: crop,mode,backgroundImageSelection,pixelCrop,x,y,width,aspect,imageAspectRatio,dataURL,photographer,backgroundImage,error,background,text,variable,attribute,definition,keyword,property,string,number,operator,meta,tag,comment",,
20,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\ImagePicker.js,ImagePicker,JSX outside the render method,"Methods with JSX: getDerivedStateFromProps,selectMode,onDragEnd,onCropChange,onImageLoaded,handleImageChange,handleURLInput,uploadImage,selectImage,removeImage",,
21,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Popout.js,PopoutManager,Large Component,LOC: 33; Number of props: 1; Number of attributes: 1; Number of methods: 5,,
22,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Popout.js,PopoutManager,JSX outside the render method,"Methods with JSX: toggleVisibility,handleClickOutside,handleKeyDown,componentDidMount,componentWillUnmount",,
23,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Settings.js,MiscSettings,Uncontrolled component,"Line 206: <input
",,
24,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Settings.js,Settings,Large Component,LOC: 235; Number of props: 32; Number of attributes: 3; Number of methods: 16,,
25,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Settings.js,Settings,Too many props,"Number of props: 32; Props: presets,selectedMenu,showPresets,previousSettings,widthChanging,top,left,isVisible,id,preset,format,squared,exportSize,windowTheme,paddingHorizontal,paddingVertical,dropShadow,dropShadowBlurRadius,dropShadowOffsetY,windowControls,widthAdjustment,width,watermark,fontFamily,fontSize,lineHeight,lineNumbers,firstLineNumber,hiddenCharacters,applyPreset,toggleVisibility,position",,
26,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Settings.js,Settings,JSX outside the render method,"Methods with JSX: componentDidMount,togglePresets,selectMenu,handleWidthChanging,handleWidthChanged,handleChange,handleOpenAndFocus,handleReset,handleFontUpload,getSettingsFromProps,applyPreset,undoPreset,removePreset,createPreset,savePresets,renderContent",,
27,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\SnippetToolbar.js,SnippetToolbar,Large Component,LOC: 79; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
28,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\SnippetToolbar.js,SnippetToolbar,Too many props,"Number of props: 17; Props: toggleVisibility,isVisible,snippet,loading,position,zIndex,marginTop,marginBottom,flexDirection,alignItems,onDelete,marginRight,name,onCreate,borderBottomLeftRadius,borderTopLeftRadius,maxWidth",,
29,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\style\Reset.js,Reset,Large Component,LOC: 229; Number of props: 0; Number of attributes: 0; Number of methods: 0,,
30,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Themes\index.js,Themes,JSX outside the render method,"Methods with JSX: getDerivedStateFromProps,handleThemeSelected,create,itemWrapper",,
31,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\components\Themes\ThemeCreate.js,ThemeCreate,Large Component,LOC: 149; Number of props: 13; Number of attributes: 0; Number of methods: 0,,
32,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\pages\about.js,About,Large Component,LOC: 189; Number of props: 0; Number of attributes: 0; Number of methods: 0,,
33,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\pages\account.js,Plan,Large Component,LOC: 152; Number of props: 2; Number of attributes: 0; Number of methods: 2,,
34,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\carbon\pages\_document.js,Doc,Inheritance instead of composition,SuperClass: Document,,
