id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
13,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\Graph.tsx,Graph,JSX outside the render method,"Methods with JSX: componentDidUpdate,componentDidMount,componentWillUnmount,plot,destroyPlot,plotSetAndDraw,handleSeriesSelect,handleSeriesHover,handleLegendMouseOut,handleResize",,
14,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\GraphControls.tsx,GraphControls,Large Component,LOC: 172; Number of props: 8; Number of attributes: 3; Number of methods: 6,,
15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\GraphControls.tsx,GraphControls,JSX outside the render method,"Methods with JSX: onChangeRangeInput,changeRangeInput,increaseRange,decreaseRange,changeResolutionInput,componentDidUpdate",,
16,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\HistogramChart.tsx,RenderHistogramBars,Large Component,LOC: 109; Number of props: 22; Number of attributes: 0; Number of methods: 0,,
17,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\HistogramChart.tsx,RenderHistogramBars,Too many props,"Number of props: 22; Props: buckets,scale,rangeMin,rangeMax,index,fds,fdMax,countMax,defaultExpBucketWidth,minPositive,maxNegative,startPositive,startNegative,xWidthNegative,xWidthPositive,xWidthTotal,left,width,height,maxWidth,padding,textAlign",,
18,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\Panel.tsx,Panel,Large Component,LOC: 322; Number of props: 29; Number of attributes: 2; Number of methods: 13,,
19,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\Panel.tsx,Panel,Too many props,"Number of props: 29; Props: data,exemplars,lastQueryParams,loading,warnings,infos,error,stats,exprInputValue,isHeatmapData,options,endTime,range,resolution,showExemplars,type,expr,query,resultType,result,displayMode,pastQueries,metricNames,enableAutocomplete,enableHighlighting,enableLinter,useLocalTime,id,removePanel",,
20,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\Panel.tsx,Panel,JSX outside the render method,"Methods with JSX: componentDidUpdate,componentDidMount,executeQuery,setOptions,handleExpressionChange,handleChangeRange,getEndTime,handleChangeEndTime,handleChangeResolution,handleChangeType,handleChangeDisplayMode,handleChangeShowExemplars,handleTimeRangeSelection",,
21,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\TimeInput.tsx,TimeInput,Large Component,LOC: 111; Number of props: 11; Number of attributes: 2; Number of methods: 9,,
22,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\graph\TimeInput.tsx,TimeInput,JSX outside the render method,"Methods with JSX: getBaseTime,calcShiftRange,increaseTime,decreaseTime,clearTime,timezone,componentDidMount,componentWillUnmount,componentDidUpdate",,
23,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\tsdbStatus\TSDBStatus.tsx,TSDBStatusContent,Large Component,LOC: 81; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
24,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\prometheus\web\ui\react-app\src\pages\tsdbStatus\TSDBStatus.tsx,TSDBStatusContent,Too many props,"Number of props: 16; Props: headStats,labelValueCountByLabelName,seriesCountByMetricName,memoryInBytesByLabelName,seriesCountByLabelValuePair,chunkCount,numSeries,numLabelPairs,minTime,maxTime,header,value,title,unit,stats,name",,
