id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
11,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\DashboardGrid.jsx,DashboardGrid,Too many props,"Number of props: 31; Props: isEditing,isPublic,dashboard,widgets,filters,onBreakpointChange,onLoadWidget,onRefreshWidget,onRemoveWidget,onLayoutChange,onParameterMappingsChange,id,options,i,x,y,w,h,minW,maxW,minH,maxH,layouts,disableAnimations,col,row,sizeX,sizeY,autoHeight,MULTI,SINGLE",,
12,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\dashboards\DashboardGrid.jsx,DashboardGrid,JSX outside the render method,"Methods with JSX: normalizeFrom,componentDidMount,componentDidUpdate,componentWillUnmount,onLayoutChange,onBreakpointChange,onWidgetHeightUpdated,onWidgetResize,normalizeTo",,
13,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\EditInPlace.jsx,EditInPlace,Large Component,LOC: 99; Number of props: 12; Number of attributes: 2; Number of methods: 6,,
14,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\EditInPlace.jsx,EditInPlace,JSX outside the render method,"Methods with JSX: componentDidUpdate,startEditing,stopEditing,handleKeyDown,renderNormal,renderEdit",,
15,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\EditInPlace.jsx,EditInPlace,Props in initial state,"Lines 33 - 35: 
this.state = {editing: props.defaultEditing,};",,
16,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\EditParameterSettingsDialog.jsx,EditParameterSettingsDialog,Large Component,LOC: 219; Number of props: 10; Number of attributes: 0; Number of methods: 3,,
17,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\empty-state\EmptyState.jsx,EmptyState,Large Component,LOC: 149; Number of props: 21; Number of attributes: 0; Number of methods: 1,,
18,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\empty-state\EmptyState.jsx,EmptyState,Too many props,"Number of props: 21; Props: icon,header,description,illustration,helpMessage,closable,onClose,onboardingMode,showAlertStep,showDashboardStep,showDataSourceStep,showInviteStep,getStepsItems,illustrationPath,dataSource,query,alert,dashboard,inviteUsers,key,node",,
19,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\FavoritesControl.jsx,FavoritesControl,Force Update,"Line 23: this.forceUpdate();
",,
20,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\items-list\components\ItemsTable.jsx,ItemsTable,Large Component,LOC: 134; Number of props: 19; Number of attributes: 2; Number of methods: 3,,
21,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\items-list\components\ItemsTable.jsx,ItemsTable,Too many props,"Number of props: 19; Props: loading,items,columns,showHeader,onRowClick,orderByField,orderByReverse,toggleSorting,setSorting,rowKey,key,dataIndex,defaultSortOrder,render,dataSource,onClick,sorter,indicator,",,
22,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\items-list\ItemsList.tsx,ItemsListWrapper,Large Component,LOC: 125; Number of props: 17; Number of attributes: 3; Number of methods: 3,,
23,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\items-list\ItemsList.tsx,ItemsListWrapper,Too many props,"Number of props: 17; Props: onError,children,validate,isLoaded,updatePagination,toggleSorting,setSorting,updateSearch,updateSelectedTags,update,handleError,totalCount,pageItems,params,isEmpty,totalItemsCount,pageSizeOptions",,
24,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,ParameterMappingInput,Large Component,LOC: 149; Number of props: 13; Number of attributes: 3; Number of methods: 7,,
25,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,ParameterMappingInput,JSX outside the render method,"Methods with JSX: updateSourceType,updateParamMapping,renderMappingTypeSelector,renderDashboardAddNew,renderDashboardMapToExisting,renderStaticValue,renderInputBlock",,
26,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,MappingEditor,Large Component,LOC: 92; Number of props: 5; Number of attributes: 1; Number of methods: 6,,
27,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,MappingEditor,JSX outside the render method,"Methods with JSX: onVisibleChange,onChange,save,show,hide,renderContent",,
28,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,TitleEditor,Large Component,LOC: 122; Number of props: 8; Number of attributes: 3; Number of methods: 7,,
29,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,TitleEditor,JSX outside the render method,"Methods with JSX: onPopupVisibleChange,onEditingTitleChange,getMappingTitle,save,hide,renderPopover,renderEditButton",,
30,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,ParameterMappingListInput,Large Component,LOC: 148; Number of props: 8; Number of attributes: 2; Number of methods: 4,,
31,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterMappingInput.jsx,ParameterMappingListInput,JSX outside the render method,"Methods with JSX: getStringValue,getDefaultValue,getSourceTypeLabel,updateParamMapping",,
32,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\Parameters.jsx,Parameters,Large Component,LOC: 186; Number of props: 12; Number of attributes: 2; Number of methods: 8,,
33,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\Parameters.jsx,Parameters,JSX outside the render method,"Methods with JSX: toCamelCase,componentDidUpdate,handleKeyDown,setPendingValue,moveParameter,applyChanges,showParameterSettings,renderParameter",,
34,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterValueInput.jsx,ParameterValueInput,Large Component,LOC: 198; Number of props: 11; Number of attributes: 2; Number of methods: 12,,
35,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\ParameterValueInput.jsx,ParameterValueInput,JSX outside the render method,"Methods with JSX: componentDidUpdate,onSelect,renderDateParameter,renderDateRangeParameter,renderEnumInput,renderQueryBasedInput,renderNumberInput,renderTextPatternInput,renderTextInput,renderInput",,
36,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\queries\editor-components\databricks\DatabricksSchemaBrowser.jsx,DatabricksSchemaBrowser,Large Component,LOC: 120; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
37,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\queries\editor-components\databricks\DatabricksSchemaBrowser.jsx,DatabricksSchemaBrowser,Too many props,"Number of props: 16; Props: dataSource,options,onOptionsUpdate,onSchemaUpdate,onItemSelect,databases,loadingDatabases,schema,loadingSchema,loadTableColumns,currentDatabaseName,setCurrentDatabase,refreshAll,refreshing,name,tableName",,
38,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\queries\ScheduleDialog.jsx,ScheduleDialog,Large Component,LOC: 228; Number of props: 14; Number of attributes: 3; Number of methods: 10,,
39,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\queries\ScheduleDialog.jsx,ScheduleDialog,Too many props,"Number of props: 14; Props: schedule,refreshOptions,dialog,time,interval,day_of_week,hour,minute,seconds,dayOfWeek,newSchedule,count,value,until",,
40,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\queries\ScheduleDialog.jsx,ScheduleDialog,JSX outside the render method,"Methods with JSX: getState,intervals,newSchedule,setTime,setInterval,setScheduleUntil,setWeekday,setUntilToggle,save",,
41,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\QueryBasedParameterInput.jsx,QueryBasedParameterInput,JSX outside the render method,"Methods with JSX: componentDidMount,componentDidUpdate,setValue,_loadOptions",,
42,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\QuerySelector.jsx,QuerySelector,Large Component,LOC: 135; Number of props: 10; Number of attributes: 0; Number of methods: 2,,
43,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\Resizable\index.jsx,Resizable,Large Component,LOC: 144; Number of props: 9; Number of attributes: 0; Number of methods: 0,,
44,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\SelectItemsDialog.jsx,SelectItemsDialog,Large Component,LOC: 118; Number of props: 19; Number of attributes: 0; Number of methods: 0,,
45,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\SelectItemsDialog.jsx,SelectItemsDialog,Too many props,"Number of props: 19; Props: dialog,dialogTitle,inputPlaceholder,itemKey,renderItem,renderStagedItem,searchItems,selectedItemsTitle,width,showCount,extraFooterContent,initialResults,textAlign,color,cancelButtonProps,okButtonProps,minHeight,maxHeight,isSelected",,
46,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\components\visualizations\EditVisualizationDialog.jsx,EditVisualizationDialog,Large Component,LOC: 165; Number of props: 13; Number of attributes: 0; Number of methods: 5,,
47,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\admin\Jobs.jsx,Jobs,Large Component,LOC: 113; Number of props: 12; Number of attributes: 2; Number of methods: 6,,
48,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\admin\Jobs.jsx,Jobs,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,refresh,processQueues,handleError",,
49,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\Alert.jsx,Alert,Large Component,LOC: 239; Number of props: 16; Number of attributes: 4; Number of methods: 13,,
50,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\Alert.jsx,Alert,Too many props,"Number of props: 16; Props: mode,alertId,onError,alert,queryResult,pendingRearm,canEdit,column,id,save,menuButton,onQuerySelected,onRearmChange,onNameChange,onCriteriaChange,onNotificationTemplateChange",,
51,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\Alert.jsx,Alert,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,save,onQuerySelected,onNameChange,onRearmChange,setAlertOptions,delete,evaluate,mute,unmute,edit,cancel",,
52,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\AlertEdit.jsx,AlertEdit,Large Component,LOC: 104; Number of props: 15; Number of attributes: 2; Number of methods: 4,,
53,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\AlertEdit.jsx,AlertEdit,Too many props,"Number of props: 15; Props: saving,alert,queryResult,pendingRearm,onNotificationTemplateChange,menuButton,onQuerySelected,onNameChange,onRearmChange,onCriteriaChange,query,name,options,custom_subject,custom_body",,
54,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\AlertEdit.jsx,AlertEdit,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,save,cancel",,
55,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\AlertNew.jsx,AlertNew,Large Component,LOC: 82; Number of props: 14; Number of attributes: 1; Number of methods: 1,,
56,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\AlertNew.jsx,AlertNew,Too many props,"Number of props: 14; Props: saving,alert,queryResult,pendingRearm,onNotificationTemplateChange,onQuerySelected,onNameChange,onRearmChange,onCriteriaChange,query,name,options,custom_subject,custom_body",,
57,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\AlertDestinations.jsx,AlertDestinations,Large Component,LOC: 158; Number of props: 7; Number of attributes: 2; Number of methods: 5,,
58,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\AlertDestinations.jsx,AlertDestinations,JSX outside the render method,"Methods with JSX: componentDidMount,showAddAlertSubDialog,onUserEmailToggle,subscribe,unsubscribe",,
59,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\Criteria.jsx,Criteria,Large Component,LOC: 160; Number of props: 11; Number of attributes: 0; Number of methods: 0,,
60,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\MenuButton.jsx,MenuButton,Large Component,LOC: 55; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
61,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\MenuButton.jsx,MenuButton,Too many props,"Number of props: 14; Props: doDelete,canEdit,mute,unmute,evaluate,muted,title,content,okText,okType,onOk,maskClosable,autoFocusButton,disabled",,
62,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\NotificationTemplate.jsx,NotificationTemplate,Large Component,LOC: 75; Number of props: 15; Number of attributes: 0; Number of methods: 2,,
63,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\alert\components\NotificationTemplate.jsx,NotificationTemplate,Too many props,"Number of props: 15; Props: alert,query,columnNames,resultValues,subject,setSubject,body,setBody,title,content,onOk,maskClosable,autoFocusButton,width,minRows",,
64,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\dashboards\components\DashboardHeader.jsx,DashboardMoreOptionsButton,Large Component,LOC: 63; Number of props: 18; Number of attributes: 0; Number of methods: 1,,
65,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\dashboards\components\DashboardHeader.jsx,DashboardMoreOptionsButton,Too many props,"Number of props: 18; Props: dashboardConfiguration,dashboard,setEditingLayout,togglePublished,archiveDashboard,managePermissions,gridDisabled,isDashboardOwnerOrAdmin,isDuplicating,duplicateDashboard,title,content,okText,okType,onOk,maskClosable,autoFocusButton,hidden",,
66,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\dashboards\components\ShareDashboardDialog.jsx,ShareDashboardDialog,JSX outside the render method,"Methods with JSX: headerContent,enableAccess,disableAccess,onChange",,
67,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\dashboards\DashboardPage.jsx,DashboardComponent,Large Component,LOC: 94; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
68,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\dashboards\DashboardPage.jsx,DashboardComponent,Too many props,"Number of props: 16; Props: dashboard,filters,setFilters,loadDashboard,loadWidget,removeWidget,saveDashboardLayout,globalParameters,updateDashboard,refreshDashboard,refreshWidget,editingLayout,setGridDisabled,options,left,width",,
69,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\DataSourcesList.jsx,DataSourcesList,Large Component,LOC: 113; Number of props: 14; Number of attributes: 4; Number of methods: 4,,
70,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\DataSourcesList.jsx,DataSourcesList,Too many props,"Number of props: 14; Props: isNewDataSourcePage,onError,dataSourceTypes,dataSources,loading,options,type,types,sourceType,imageFolder,helpTriggerPrefix,onCreate,onClick,disabled",,
71,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\DataSourcesList.jsx,DataSourcesList,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,createDataSource,showCreateSourceDialog",,
72,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\EditDataSource.jsx,EditDataSource,Large Component,LOC: 125; Number of props: 19; Number of attributes: 3; Number of methods: 6,,
73,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\EditDataSource.jsx,EditDataSource,Too many props,"Number of props: 19; Props: dataSourceId,onError,dataSource,type,loading,title,content,okText,okType,onOk,onCancel,maskClosable,autoFocusButton,duration,fields,actions,onSubmit,feedbackIcons,defaultShowExtraFields",,
74,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\data-sources\EditDataSource.jsx,EditDataSource,JSX outside the render method,"Methods with JSX: componentDidMount,saveDataSource,deleteDataSource,testConnection,renderForm",,
75,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\destinations\DestinationsList.jsx,DestinationsList,JSX outside the render method,"Methods with JSX: componentDidMount,createDestination,showCreateSourceDialog,renderDestinations",,
76,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\destinations\EditDestination.jsx,EditDestination,Large Component,LOC: 92; Number of props: 18; Number of attributes: 3; Number of methods: 5,,
77,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\destinations\EditDestination.jsx,EditDestination,Too many props,"Number of props: 18; Props: destinationId,onError,destination,type,loading,title,content,okText,okType,onOk,onCancel,maskClosable,autoFocusButton,fields,actions,onSubmit,defaultShowExtraFields,feedbackIcons",,
78,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\destinations\EditDestination.jsx,EditDestination,JSX outside the render method,"Methods with JSX: componentDidMount,saveDestination,deleteDestination,renderForm",,
79,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\groups\GroupDataSources.jsx,GroupDataSources,Large Component,LOC: 195; Number of props: 12; Number of attributes: 5; Number of methods: 4,,
80,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\groups\GroupDataSources.jsx,GroupDataSources,Force Update,"Line 176: <GroupName className=""d-block m-t-0 m-b-15"" group={this.group} onChange={() => this.forceUpdate()} />
",,
81,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\groups\GroupDataSources.jsx,GroupDataSources,JSX outside the render method,"Methods with JSX: componentDidMount,removeGroupDataSource,setDataSourcePermissions,addDataSources",,
82,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\groups\GroupMembers.jsx,GroupMembers,Large Component,LOC: 161; Number of props: 11; Number of attributes: 5; Number of methods: 3,,
83,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\groups\GroupMembers.jsx,GroupMembers,Force Update,"Line 139: <GroupName className=""d-block m-t-0 m-b-15"" group={this.group} onChange={() => this.forceUpdate()} />
",,
84,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\components\QueryPageHeader.jsx,QueryPageHeader,Large Component,LOC: 146; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
85,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\components\QueryPageHeader.jsx,QueryPageHeader,Too many props,"Number of props: 14; Props: query,dataSource,sourceMode,selectedVisualization,headerExtra,tagsExtra,onChange,minWidth,fork,archive,managePermissions,publish,unpublish,showAPIKey",,
86,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\hooks\useUpdateQuery.jsx,SaveQueryError,Inheritance instead of composition,SuperClass: Error,,
87,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\hooks\useUpdateQuery.jsx,SaveQueryConflictError,Inheritance instead of composition,SuperClass: SaveQueryError,,
88,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\QuerySource.jsx,QuerySource,Large Component,LOC: 368; Number of props: 42; Number of attributes: 0; Number of methods: 1,,
89,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\QuerySource.jsx,QuerySource,Too many props,"Number of props: 42; Props: query,setQuery,isDirty,saveQuery,dataSourcesLoaded,dataSources,dataSource,QueryEditor,SchemaBrowser,minWidth,queryResult,isExecuting,executionStatus,executeQuery,error,cancelCallback,isCancelling,updatedAt,loadedInitialResults,dataSourceId,data_source_id,latest_query_data_id,latest_query_data,successMessage,options,left,top,right,bottom,overflow,title,shortcut,onClick,disabled,text,loading,available,enabled,onToggle,checked,onChange,value",,
90,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\QueryView.jsx,QueryView,Large Component,LOC: 187; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
91,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\queries\QueryView.jsx,QueryView,Too many props,"Number of props: 14; Props: query,minWidth,minHeight,queryResult,loadedInitialResults,isExecuting,executionStatus,executeQuery,error,cancelCallback,isCancelling,updatedAt,hidden,autoSize",,
92,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\query-snippets\QuerySnippetsList.jsx,QuerySnippetsList,Large Component,LOC: 162; Number of props: 14; Number of attributes: 2; Number of methods: 5,,
93,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\query-snippets\QuerySnippetsList.jsx,QuerySnippetsList,Too many props,"Number of props: 14; Props: controller,title,field,className,width,isNewOrEditPage,querySnippetId,content,okText,okType,cancelText,onOk,itemsPerPage,page",,
94,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\query-snippets\QuerySnippetsList.jsx,QuerySnippetsList,JSX outside the render method,"Methods with JSX: componentDidMount,saveQuerySnippet,deleteQuerySnippet,showSnippetDialog",,
95,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\components\PasswordForm\ChangePasswordDialog.jsx,ChangePasswordDialog,Large Component,LOC: 132; Number of props: 17; Number of attributes: 1; Number of methods: 4,,
96,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\components\PasswordForm\ChangePasswordDialog.jsx,ChangePasswordDialog,Too many props,"Number of props: 17; Props: user,dialog,currentPassword,newPassword,repeatPassword,updatingPassword,id,old_password,password,name,value,error,className,required,onChange,onPressEnter,loading",,
97,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\components\PasswordForm\ChangePasswordDialog.jsx,ChangePasswordDialog,JSX outside the render method,"Methods with JSX: fieldError,validateFields,updatePassword,handleChange",,
98,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\components\UserInfoForm.jsx,UserInfoForm,Large Component,LOC: 72; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
99,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\components\UserInfoForm.jsx,UserInfoForm,Too many props,"Number of props: 17; Props: user,onChange,groups,allGroups,isLoading,id,name,title,type,initialValue,mode,options,loading,placeholder,required,content,readOnly",,
100,C:\Users\leozi\OneDrive\Área de Trabalho\Analise\RepositoriosClonados\redash\client\app\pages\users\UsersList.jsx,UsersList,Large Component,LOC: 182; Number of props: 10; Number of attributes: 3; Number of methods: 8,,
